ElementName,DataType,Size,Required,ElementDescription,ValueRange,Notes,Aliases
subjectkey,GUID,,Required,The NDAR Global Unique Identifier (GUID) for research subject,NDAR*,,guid
src_subject_id,String,20,Required,Subject ID how it's defined in lab/project,,,subjid
interview_date,Date,,Required,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,,Required field,
interview_age,Integer,,Required,Age in months at the time of the interview/test/sampling/imaging.,0 :: 1260,"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",
sex,String,20,Required,Sex of the subject,M;F; O; NR,M = Male; F = Female; O=Other; NR = Not reported,gender
eligibility,Integer,,Required,Did subject meet assessment requirements for inclusion in the study?,0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
inclusion_1,Integer,,Required,Did the subject provide a written signed informed consent form/forms (IRB/IEC specific) prior to the initiation of any protocol required procedures?,0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
inclusion_2,Integer,,Required,Is the subject between the ages of 18-68 inclusive?,0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
inclusion_3,Integer,,Required,Does the subject have a high school degree or equivalent?,0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
inclusion_4,Integer,,Required,Can the subject read and speak English?,0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
exclusion_3,Integer,,Required,Does the subject have an overall score of 20 or higher on the Beck Depression Inventory?,0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
pu_suicd6mo,Integer,,Required,Does the subject have current suicidal ideation with intent/plan (answered 3 or 4 to question 9 of the BDI),0;1; 888,0=No; 1=Yes; 888 = Not assessed - patient was ineligible,
exclusion_5,Integer,,Required,Has the subject ever suffered a head or brain injury?,0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
exclusion_6,Integer,,Required,Does the subject have any current psychiatric illness? ,0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
exclusion_7,Integer,,Required,Does the subject have any current or previous neurological illness?,0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
exclusion_8,Integer,,Required,Does the subject meet criteria for substance abuse?,0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
exclusion_9,Integer,,Required,Does the subject suffer from frequent or severe headaches?,0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
exclusion_10,Integer,,Required,Is the subject currently taking any psychotropic medications?,0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
exclusion_11,Integer,,Required,Does the subject have any contraindications for MRI imaging such as metal in the body (confirmed at the MRI visit on the MRI screening checklist)?,0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
exclusion_12,Integer,,Required,"If female, is the subject currently pregnant, planning to become pregant in the next month, or breastfeeding? (to be confirmed by urine pregnancy screen right before the MRI scan).",0;1; 888,1 = Yes ; 0 = No ; 888 = Not assessed - patient was ineligible,
comments_misc,String,4000,Recommended,"Miscellaneous comments on study, interview, methodology relevant to this form data",,,
visit,String,60,Recommended,Visit name,,,
fspgod,String,70,Recommended,Subject's gender OTHER describe,,,
study,String,100,Recommended,Study,,,
vis_type,Integer,,Recommended,Visit type,0::2,"1=Phone/remote; 0=doctor's office/In person; 2=No, not phone interview",
