"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex"
"fmri_survey_1","String","25","Recommended","Approximately what time did you fall asleep last night?","","",""
"teendemo8","String","50","Recommended","What time did you wake up this morning?","","","fmri_survey_2"
"fmri_survey_2a","String","50","Recommended","Was the amount of sleep you got the night before less, more, or the same as last night?","","",""
"fmri_survey_3","String","50","Recommended","Did you feel yourself starting to fall asleep during the scan?","","",""
"fmri_survey_4","Integer","","Recommended","Did you fall asleep at any point during the resting scan?","0::4","1=yes; 0=no; 2=only at the end of the scan; 3=only at the beginning of the scan; 4=doze off and on","rs_sleep"
"fmri_survey_5","Integer","","Recommended","Were you able to keep yourself awake throughout the entire scan?","0;1","1=yes; 0=no",""
"fmri_survey_6","Integer","","Recommended","Were you able to keep your eyes closed throughout the entire scan?","0;1","1=yes; 0=no",""
"fmri_survey_7","Integer","","Recommended","How long id dyou have your eyes closed during the resting scan (when the music was off and you were asked to rest)?","1::5","1 = My eyes were closed the whole time; 2 = My eyes were closed most of the time; 3 = My eyes were closed some of the time; 4 = I opened my eyes once or twice; 5 = I did not close my eyes during this scan",""
"fmri_survey_8","String","25","Recommended","Approximately how long do you think the resting scan took?","","",""
"fmri_survey_9","String","500","Recommended","What were you thinking about during the scan?","","","rs_thoughts"
"fmri_survey_10","Integer","","Recommended","Did you feel yourself starting to fall asleep during any of the scans?","0;1","1=yes; 0=no",""
"fmri_survey_11","Integer","","Recommended","Did you feel nervous during the resting scan?","0;1","1=yes; 0=no",""
"fmri_survey_12","String","100","Recommended","Is there anything else that you would like to share with us about the resting scan?","","",""
"fmri_survey_13","Integer","","Recommended","Do you have a permanent retainer?","0;1","1=yes; 0=no",""
"meau_01b","Date","","Recommended","When was the first day of your last menstrual period?","","","fmri_survey_14"
"rs_feel_1","Float","","Recommended","How did you feel during the scan when you were asked to rest and keep your eyes open? - Relaxed","0 :: 10","0=not at all; 10=extremely",""
"rs_feel_2","Float","","Recommended","How did you feel during the scan when you were asked to rest and keep your eyes open? - Anxious","0 :: 10","0=not at all; 10=extremely",""
"rs_feel_3","Float","","Recommended","How did you feel during the scan when you were asked to rest and keep your eyes open? - Uncomfortable","0 :: 10","0=not at all; 10=extremely",""
"rs_feel_4","Float","","Recommended","How did you feel during the scan when you were asked to rest and keep your eyes open? - Tired","0 :: 10","0=not at all; 10=extremely",""
"rs_feel_5","Float","","Recommended","How did you feel during the scan when you were asked to rest and keep your eyes open? - Alert","0 :: 10","0=not at all; 10=extremely",""
"rs_feel_6","Float","","Recommended","How did you feel during the scan when you were asked to rest and keep your eyes open? - Bored","0 :: 10","0=not at all; 10=extremely",""
"rs_strategy","String","2000","Recommended","What strategy did you use to stay awake during the time that you were asked to rest and keep your eyes open?","","",""
"excitement_08","Integer","","Recommended","To what degree did you feel excited during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
"fear_09","Integer","","Recommended","To what degree did you feel fear during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
"horror_10","Integer","","Recommended","To what degree did you feel horrified during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
"interest_11","Integer","","Recommended","To what degree did you feel interested during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
"joy_12","Integer","","Recommended","To what degree did you feel joy during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
"neutral_13","Integer","","Recommended","To what degree did you feel neutral during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
"romantic_love_14","Integer","","Recommended","To what degree did you feel romantic love during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
"sadness_15","Integer","","Recommended","To what degree did you feel sad during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
"surprise_16","Integer","","Recommended","To what degree did you feel surprised during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
"balence_17","Integer","","Recommended","How did you feel during the scan balanced during the scan?","1::7;-99;77;88","1= Very Negative; 2= Negative; 3= Somewhat Negative; 4= Neutral; 5= Somewhat Positive; 6= Positive; 7= Very Positive; -99= N/A ; 77= Refused ; 88= Missing",""
"arousal_18","Integer","","Recommended","How emotionally engaged did you feel during the scan?","1::7;-99;77;88","1= Very Negative; 2= Negative; 3= Somewhat Negative; 4= Neutral; 5= Somewhat Positive; 6= Positive; 7= Very Positive; -99= N/A ; 77= Refused ; 88= Missing",""
"time_assess","String","20","Recommended","Time of day the assessment was taken. Hour:minutes","","",""
"visit","String","60","Recommended","Visit name","","",""
"fspgod","String","70","Recommended","Subject's gender OTHER describe","","",""
"site","String","101","Recommended","Site","","Study Site",""
"study","String","100","Recommended","Study; The code for each individual study","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"scan_assess","Integer","","Recommended","When was this assessment administered?","1 :: 3","1= Pre Scan; 2= Post Scan; 3= During Scan",""
"amusement_01","Integer","","Recommended","To what degree did you feel amused during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
"anger_02","Integer","","Recommended","To what degree did you feel angry during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
"anxiety_03","Integer","","Recommended","To what degree did you feel anxious during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
"awe_04","Integer","","Recommended","To what degree did you feel in awe during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
"calmness_05","Integer","","Recommended","To what degree did you feel calm during the scan?","1::4;-99;77;88","1= Not At All; 2= Slightly; 3= Moderately; 4= Very; -99= N/A ; 77= Refused ; 88= Missing",""
