ElementName,DataType,Size,Required,ElementDescription,ValueRange,Notes,Aliases
subjectkey,GUID,,Required,The NDAR Global Unique Identifier (GUID) for research subject,NDAR*,,guid
src_subject_id,String,20,Required,Subject ID how it's defined in lab/project,,,id
interview_date,Date,,Required,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,,,"crsq_rpt_date,date"
interview_age,Integer,,Required,Age in months at the time of the interview/test/sampling/imaging.,0 :: 1260,"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",
sex,String,20,Required,Sex of subject at birth,M;F; O; NR,M = Male; F = Female; O=Other; NR = Not reported,gender
rrs_1,Integer,,Recommended,1. Think about how alone you feel/ S. I think about how alone I feel,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"crsq1,crsqr_1,rs_1,rsq_1,rsq_5,rsq_d1,rsq_q5"
rrs_2,Integer,,Recommended,"2. Think, ""I won't be able to do my job if I don't snap out of this""/ S. I think ""I won't be able to do my work because I feel so badly.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"rs_2,rsq_2,rsq_d2"
rrs_3,Integer,,Recommended,3. Think about your feelings of fatigue and achiness/ S. I think about how tired and achy I feel,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"rs_3,rsq_3,rsq_7,rsq_d3,rsq_q7"
rrs_4,Integer,,Recommended,4. Think about how hard it is to concentrate/S. I think about how hard it is to concentrate,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"rs_4,rsq_4,rsq_8,rsq_d4,rsq_q8"
rrs_5,Integer,,Recommended,"5. Think, ""What am I doing to deserve this?""/S. I think ""What am I doing to deserve this?""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"deserve,rs_5,rsq_14,rsq_23,rsq_d23"
rrs_6,Integer,,Recommended,6. Think about how passive and unmotivated you feel./S. I think about how I don't want to do anything,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"rs_6,rsq_15,rsq_5,rsq_d5,rsq_q15"
rrs_7,Integer,,Recommended,7. Analyze recent events to try to understand why you are depressed/S. I analyze what's happened recently to try to understand why I am so upset,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"analyzeevents,rs_7,rsq_18,rsq_6,rsq_d6,rsq_q18"
rrs_8,Integer,,Recommended,8. Think about how you don't seem to feel anything anymore/S. I think about how I don't seem to feel anything any more,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"rs_8,rsq_19,rsq_7,rsq_d7,rsq_q19"
rrs_9,Integer,,Recommended,"9. Think, ""Why can't I get going?""/S. I think ""Why can't I get going?""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"rs_9,rsq_21,rsq_8,rsq_d8,rsq_q21"
rrs_10,Integer,,Recommended,"10. Think, ""Why do I always react this way?""/S. I think ""Why do I always react this way?""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"react,rs_10,rsq_22,rsq_9,rsq_d9,rsq_q22"
rrs_11,Integer,,Recommended,11. Go away by yourself and think about why you feel this way/S. I go away by myself and think about why I feel this way,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"crsq2,crsqr_2,rs_11,rsq_10,rsq_25,rsq_d10,rsq_q25,whyfeel"
rrs_12,Integer,,Recommended,12. Write down what you are thinking about and analyze it/S. I write down what I am thinking about and analyze it,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"rs_12,rsq_11,rsq_28,rsq_d11,rsq_q28,write"
rrs_13,Integer,,Recommended,"13. Think about a recent situation, wishing it had gone better/S. I think about something that's happened recently, wishing it had gone better",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"crsq8,crsqr_8,rs_13,rsq_12,rsq_30,rsq_d12,rsq_q30,wishbetter"
rrs_14,Integer,,Recommended,"14. Think, ""I won't be able to concentrate if I keep feeling this way.""/S. I think ""I won't be able to concentrate if I keep feeling this way.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"rs_14,rsq_25,rsq_d25"
rrs_15,Integer,,Recommended,"15. Think, ""Why do I have problems other people don't have?""/S. I think ""Why do I have problems other kids don't have?""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"probothers,rs_15,rsq_13,rsq_40,rsq_d13,rsq_q40"
rrs_16,Integer,,Recommended,"16. Think, ""Why can't I handle things better?""/S. I think ""Why can't I handle things better?""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"crsq12,crsqr_12,handlebetter,rs_16,rsq_24,rsq_42,rsq_d24"
rrs_17,Integer,,Recommended,17. Think about how sad you feel./S. I think about how upset I feel,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"crsq4,rs_17,rsq_14,rsq_43,rsq_d14,rsq_q43"
rrs_18,Integer,,Recommended,"18. Think about all your shortcomings, failings, faults, mistakes/S. I think about all my shortcomings, failings, faults, mistakes",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"crsq11,crsqr_11,rs_18,rsq_15,rsq_44,rsq_d15,rsq_q44"
rrs_19,Integer,,Recommended,19. Think about how you don't feel up to doing anything/S. I think about how I don't feel up to doing anything,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"crsq13,crsqr_13,rs_19,rsq_16,rsq_46,rsq_d16,rsq_q46"
rrs_20,Integer,,Recommended,20. Analyze your personality to try to understand why you are depressed/S. I analyze myself to understand why I am upset,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"analyzepersonality,rs_20,rsq_17,rsq_53,rsq_d17,rsq_q53"
rrs_21,Integer,,Recommended,21. Go someplace alone to think about your feelings/S. I go someplace alone to think about my feelings...,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"alonethink,crsq5,crsqr_5,rs_21,rsq_18,rsq_56,rsq_d18,rsq_q56"
rrs_22,Integer,,Recommended,22. Think about how angry you are with yourself/S. I think about how angry I am with myself,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"crsq6,crsqr_6,rs_22,rsq_19,rsq_61,rsq_d19,rsq_q61"
rrs_b,Integer,,Recommended,Brooding score,5 :: 20; 9999,"sum (5, 10, 13, 15, 16); 9999=NA/missing",rs_b
rrs_d,Integer,,Recommended,Depression-Related score,12 :: 48; 9999,"sum(1,2,3,4,6,8,9,14,17,18,19,22); 9999=NA/missing",rs_d
rrs_r,Integer,,Recommended,Reflection score,5 :: 20; 9999,"sum(,7,11,12,20,21); 9999=NA/missing",rs_r
rrs_total,Integer,,Required,Rumination total score,22 :: 88; 9999,9999=NA/missing,"rrs_sum,rs_total"
visit,String,60,Recommended,Visit name,,,severity_totscore
