"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid,guid_r03,identifier/guid"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","LabID,bdi_subid,catieid,id,patid,record_id,sid_r03,stepid,subj,subj_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","Required field","TestDate,bdi_date,lvdate_r03"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","AgeMonths,parentage_r03"
"sex","String","20","Required","Sex of the subject","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,parentgender_r03,sex"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","","Comments"
"bdi_sad","Integer","","Recommended","Sadness","0;1;2;3;-7; -9","0=I do not feel sad; 1= I feel sad much of the time; 2= I am sad all the time; 3= I am so sad or unhappy that I can't stnd it;  -9=incomplete","Q1,bc1,bd_001,bdi01,bdi01_r03,bdi1_u,bdi_001,bdi_1,beck01,bp1,q1,q2,sadness"
"bdi_pess","Integer","","Recommended","Pessimism","0;1;2;3;-7; -9","0=I am not discouraged about my future; 1= I feel more discouraged about my future than I can used to be; 2= I do not expect things to work out for me; 3= I feel my future is hopeless and will only get worse; -7=Refused;  -9=incomplete","Q2,bc2,bd_002,bdi02,bdi02_r03,bdi2_u,bdi_002,bdi_2,beck02,bp2,pessimsm,q2,q3"
"bdi_pf","Integer","","Recommended","Past failure","0;1;2;3;-7; -9","""0=I do not feel like a failure; 1=I have failed more than I should have; 2=As I look back, I see a lot of failures; 3= I feel I am a total failure as a person""; -7=Refused;  -9=incomplete","Q3,bc3,bd_003,bdi03,bdi03_r03,bdi3_u,bdi_003,bdi_3,beck03,bp3,pastfail,q3,q4"
"bdi_lop","Integer","","Recommended","Loss of pleasure","0;1;2;3;-7; -9","0=I get as much pleasure as I ever did from the things I enjoy; 1= I don't enjoy things as much as I used to; 2= I get very little pleasure from the things I used to enjoy; 3= I can't get any pleasure from the things I used to enjoy; -7=Refused;  -9=incomplete","Q4,bc4,bdi04_r03,bdi4_u,bdi_004,bdi_4,beck04,bp4,nopleas,q4,q5"
"bdi_gf","Integer","","Recommended","Guilty feelings","0;1;2;3;-7; -9","0=I don't feel particularly guilty; 1= I feel guilty over many things I have done or should have done; 2=I feel quite  guilty most of the time; 3= I feel guilty all of the time; -7=Refused;  -9=incomplete","Q5,bc5,bd_005,bdi05,bdi05_r03,bdi5_u,bdi_005,bdi_5,beck05,bp5,guilt,q5,q6"
"bdi_punf","Integer","","Recommended","Punishment feelings","0;1;2;3;-7; -9","0=I don't feel I am being punished; 1= I feel I amy be punished; 2=I expect to be punished; 3= I feel I am being punished; -7=Refused;  -9=incomplete","Q6,bc6,bd_006,bdi06,bdi06_r03,bdi6_u,bdi_006,bdi_6,beck06,bp6,punish,q6,q7"
"bdi_sd","Integer","","Recommended","Self-dislike","0;1;2;3;-7; -9","0=I feel the same about myself as ever; 1= I have lost confidence in myself; 2= I am disappointed in myself; 3=I dislike myself; -7=Refused;  -9=incomplete
","Q7,bc7,bdi07_r03,bdi7_u,bdi_007,bdi_7,bp7,idislike,q7,q8"
"bdi_sc","Integer","","Recommended","Self-criticalness","0;1;2;3;-7; -9","0=I don't criticize or blame myself more than usual; 1=I am more critical of myself than I used to be; 2= I critisize myself for all of my faults; 3= I balme myself for everything bad that happens; -7=Refused;  -9=incomplete","Q8,bc8,bdi08_r03,bdi8_u,bdi_008,bdi_8,bp8,icritic,q8,q9"
"bdi_stw","Integer","","Recommended","Suicidal thoughts or wishes","0;1;2;3;-7; -9","""0=I don't have any thoughts of killing myself; 1= I have thoughts of killing myself, but I would not carry them out; 2=I would like to kill myself; 3=I would kill myself if I had the chance""; -7=Refused;  -9=incomplete","Q9,bc9,bdi09,bdi09_r03,bdi9_u,bdi_009,bdi_9,beck09,bp9,q10,q9,suicide"
"bdy_cry","Integer","","Recommended","Crying","0;1;2;3;-7","""0=I don't cry anymore then I used to; 1=I cry more than I used to; 2= I cry over every little thing; 3= I feel like crying, but I can't""; -7=Refused","Q10,bc10,bd_009,bdi010,bdi10_r03,bdi10_u,bdi_010,bdi_10,bdi_cry,beck10,bp10,crying,q10,q11"
"bdi_agit","Integer","","Recommended","Agitation","0;1;2;3;-7; -9","0=I am no more restless or wound up than usual; 1= I feel more restless or wound up than usual; 2= I am so restless or agitated that it's hard to stay still; 3= I am so restless or agitated that I have to keep moving or doing something; -7=Refused;  -9=incomplete","Q11,agitate,bdi11_r03,bdi11_u,bdi_011,bdi_11,q11,q12"
"bdi_li","Integer","","Recommended","Loss of interest","0;1;2;3;-7; -9","0=I have not lost interest in other people or activities; 1= I am less interested in other people or things than before; 2= I have lost most of my interest in other eople or things; 3= It's hard to get interested in anything; -7=Refused;  -9=incomplete","Q12,bc12,bd_011,bdi012,bdi12_r03,bdi12_u,bdi_012,bdi_12,beck12,bp12,nointrst,q12,q13"
"bdi_indec","Integer","","Recommended","Indecisiveness","0;1;2;3;-7; -9","0=Imake decisions about as well as ever; 1=I find it more difficult to make decisions than usual; 2=I  have much greater difficulty in making decisions tha I used to; 3=I have trouble making any decisions; -7=Refused;  -9=incomplete","Q13,bc13,bd_012,bdi013,bdi13_r03,bdi13_u,bdi_013,bdi_13,beck13,bp13,indecisv,q13,q14"
"bdi_worth","Integer","","Recommended","Worthlessness","0;1;2;3;-7; -9","0=I do not feel I am worthless; 1= I don't consider myself as worthwhile and useful as I used to; 2=I feel more worthless as compared to other people; 3=I feel utterly worthless; -7=Refused;  -9=incomplete","Q14,bdi14_r03,bdi14_u,bdi_014,bdi_14,noworth,q14,q15"
"bdi_le","Integer","","Recommended","Loss of energy","0;1;2;3;-7; -9","0=I have as much energy as ever; 1= I have less energy than I used to have; 2= I don't have enough energy to do very much; 3=I don't have eough energy to do anything; -7=Refused;  -9=incomplete","Q15,bdi15_r03,bdi15_u,bdi_015,bdi_15,noenergy,q15,q16"
"bdi_csp","String","2","Recommended","Changes in sleeping pattern","0;1a;1b;2a;2b;3a;3b; -7","0= I have not experienced any changes in my sleeping pattern; 1a=I sleep somewhat more than usual; 1b=I sleep somewhat less than usual;2a=I sleep a lot more than usual; 2b=I sleep a lot less than usual; 3a=I sleep most of the day; 3b= I wake up 1-2 hours early and can't get back to sleep; -7 refused","Q16,bdi16_r03,bdi16_u,bdi_016,bdi_16,chsleep,q16,q17"
"bdi_csp_a","Integer","","Recommended","Changes in sleeping pattern, adjusted","0;1;2;3;-7; -9","  -9=incomplete","Q16Adjusted"
