"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","id,pid,record_id,subj,subject"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","stai_doc,staidate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of the subject","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex"
"stai1","Integer","","Recommended","Right now. I feel calm.","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q1_currently_calm,stai_1,stai_10,stai_18,stai_2,stai_state1,stai_state1_i,stai_state_pr1,staix1_q01"
"stai2","Integer","","Recommended","Right now. I feel secure","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q2_currently_secure,stai_11,stai_19,stai_2,stai_3,stai_state2,stai_state2_i,stai_state_pr2,staix1_q02"
"stai3","Integer","","Recommended","Right now. I am tense.","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q3_currently_tense,q3_currently_tense?,stai_12,stai_20,stai_3,stai_4,stai_state3,stai_state3_i,stai_state_pr3,staix1_q03"
"stai4","Integer","","Recommended","Right now. I feel strained","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q4_currently_strained,stai_13,stai_4,stai_45,stai_5,stai_state4,stai_state_pr4"
"stai5","Integer","","Recommended","Right now. I feel at ease","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q5_currently_ease,stai_14,stai_46,stai_5,stai_6,stai_state5,stai_state5_i,stai_state_pr5,staix1_q05"
"stai6","Integer","","Recommended","Right now. I feel upset","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q6_currently_upset,q6_currently_upset?,stai_15,stai_47,stai_6,stai_7,stai_state6,stai_state6_i,stai_state_pr6,staix1_q06"
"stai7","Integer","","Recommended","Right now. I am presently worrying over possible misfortunes","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q7_currently_worrying,stai_16,stai_48,stai_7,stai_8,stai_state7,stai_state7_i,stai_state_pr7,staix1_q07"
"stai8","Integer","","Recommended","Right now. I feel satisfied","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q8_currently_satisfied,q8_currently_satisfied?,stai_17,stai_49,stai_8,stai_9,stai_state8,stai_state_pr8"
