ElementName,DataType,Size,Required,ElementDescription,ValueRange,Notes,Aliases
subjectkey,GUID,,Required,The NDAR Global Unique Identifier (GUID) for research subject,NDAR*,,
src_subject_id,String,20,Required,Subject ID how it's defined in lab/project,,,record_id
interview_age,Integer,,Required,Age in months at the time of the interview/test/sampling/imaging.,0 :: 1260,"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",
interview_date,Date,,Required,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,,,
sex,String,20,Required,Sex of subject at birth,M;F; O; NR,M = Male; F = Female; O=Other; NR = Not reported,gender
tas20_1,Integer,,Recommended,I am often confused about what emotion I am feeling.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"confused,taq_q1"
tas20_2,Integer,,Recommended,It is difficult for me to find the right words for my feelings.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"feelings,taq_q2"
tas20_3,Integer,,Recommended,I have physical sensations that even doctors don't understand.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"sensations,taq_q3"
tas20_4,Integer,,Recommended,I am able to describe my feelings easily.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"describe,taq_q4"
tas20_5,Integer,,Recommended,I prefer to analyze problems rather than just describe them.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"analyze,taq_q5"
tas20_6,Integer,,Recommended,"When I am upset, I don' know if I am sad, frightened, or angry.",1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"taq_q6,upset"
tas20_7,Integer,,Recommended,I am often puzzled by sensations in my body.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"puzzled,taq_q7"
tas20_8,Integer,,Recommended,I prefer to just let things happen rather than to understand why they turned out that way.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"happen,taq_q8"
tas20_9,Integer,,Recommended,I have feelings that I can't quite identify.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"identify,taq_q9"
tas20_10,Integer,,Recommended,Being in touch with emotions is essential.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"emotions,taq_q10"
tas20_11,Integer,,Recommended,I find it hard to describe how I feel about people.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"feelpeople,taq_q11"
tas20_12,Integer,,Recommended,People tell me to describe my feelings more.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"peopletellme,taq_q12"
tas20_13,Integer,,Recommended,I don't know what's going on inside me.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"goingon,taq_q13"
tas20_14,Integer,,Recommended,I often don't know why I am angry.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"angry,taq_q14"
tas20_15,Integer,,Recommended,I prefer talking to people about their daily activities rather than their feelings.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"dailyactivities,taq_q15"
tas20_16,Integer,,Recommended,"I prefer to watch ""light"" entertainment shows rather than psychological dramas.",1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"entertaiment,taq_q16"
tas20_17,Integer,,Recommended,"It is difficult for me to reveal my innermost feelings, even to close friends.",1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"innermost,taq_q17"
tas20_18,Integer,,Recommended,"I can feel close to someone, even in moments of silence.",1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"feelclose,taq_q18"
tas20_19,Integer,,Recommended,I find examination of my feelings useful in solving personal problems.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"examination,taq_q19"
tas20_20,Integer,,Recommended,Looking for hidden meanings in movies or plays distracts from their enjoyment.,1 :: 5,1 = Strongly Disagree; 2 = Moderately Disagree; 3 = Neither Disagree Nor Agree; 4 = Moderately Agree; 5 = Strongly Agree,"hiddenmeanings,taq_q20"
tas_totalscore,Integer,,Recommended,TAS total score,,,
tas_factor1_score,Integer,,Recommended,Factor 1 - Difficulty Identifying Emotions,,,
tas_factor2_score,Integer,,Recommended,Factor 2 - Difficulty Describing Feelings,,,
tas_factor3_score,Integer,,Recommended,Factor 3 - Externally-Oriented Thinking,,,
timepoint_label,String,15,Recommended,Timepoint/visit label,,,timepoint
studynumber,Integer,,Recommended,IRB protocol number,,,
