ElementName,DataType,Size,Required,ElementDescription,ValueRange,Notes,Aliases
subjectkey,GUID,,Required,The NDAR Global Unique Identifier (GUID) for research subject,NDAR*,,
src_subject_id,String,20,Required,Subject ID how it's defined in lab/project,,,
interview_date,Date,,Required,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,,,date_bis
interview_age,Integer,,Required,Age in months at the time of the interview/test/sampling/imaging.,0 :: 1260,"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",
sex,String,20,Required,Sex of subject at birth,M;F; O; NR,M = Male; F = Female; O=Other; NR = Not reported,gender
als1,Integer,,Recommended,My sleeping patterns shift from times when I sleep perfectly well to times when I have insomnia and can't sleep well at all.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q1
als2,Integer,,Recommended,There are times when I feel very restless and then shortly afterwards I will not feel very restless at all.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q2
als3,Integer,,Recommended,There are times when I am so nervous that I feel light-headed and/or dizzy and then soon afterwards I feel so sad that I have difficulty getting motivated to do anything.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q3
als4,Integer,,Recommended,I frequently shift back and forth between worrying more than other people and not worrying much more than anyone else.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q4
als5,Integer,,Recommended,At times I feel just as relaxed as everyone else and then within minutes I become so nervous that I feel light-headed and dizzy.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q5
als6,Integer,,Recommended,There are times when I get very involved in activities which later I regret and quickly lose interest in.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q6
als7,Integer,,Recommended,I switch back and forth between being more talkative than usual and having only a normal amount of interest in talking.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q7
als8,Integer,,Recommended,There are times when I have very little energy and then soon afterwards I have about the same energy level as most people.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q8
als9,Integer,,Recommended,I find that my enjoyment in my daily activities frequently changes from times when I enjoy these daily activities to other times when I couldn't care less about these activities.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q9
als10,Integer,,Recommended,There are times when all I can think about is how worthless I am and then very soon afterwards all I can think about are the things that I am worried about.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q10
als11,Integer,,Recommended,My sleeping habits frequently shift from times when I could sleep all day long to times when I do not have much of a need to sleep at all.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q11
als12,Integer,,Recommended,"One minute I can be feeling O.K. and the next minute I am tense, jittery, and nervous.",0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q12
als13,Integer,,Recommended,Sometimes I feel guilty about things and then they suddenly stop bothering me.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q13
als14,Integer,,Recommended,I frequently switch from being able to control my temper very well to not being able to control it very well at all.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q14
als15,Integer,,Recommended,It's very common for me to be extremely angry about something and then to suddenly feel like my normal self.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q15
als16,Integer,,Recommended,Many times I feel very nervous and tense and then I suddenly feel very sad and down.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q16
als17,Integer,,Recommended,Sometimes I go from feeling extremely anxious about something to feeling very down about it.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q17
als18,Integer,,Recommended,My mood shifts rapidly from times when I feel about average to times when I could laugh and joke all day long.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q18
als19,Integer,,Recommended,There are times when I feel moderately optimistic about the future and then shortly afterwards I feel quite pessimistic about the future and what it will bring.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q19
als20,Integer,,Recommended,I shift back and forth from feeling perfectly calm to feeling uptight and nervous.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q20
als21,Integer,,Recommended,There are times when I feel perfectly calm one minute and then the next minute the least little thing makes me furios.,0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q21
als22,Integer,,Recommended,"I shift back and forth between feeling depressed and ""down in the dumps"" to feeling ""on edge"" and irritable.",0 :: 3,"0= Very uncharacteristic of me, extremely undescriptive; 1=Rather uncharacteristic of me, quite undescriptive; 2=Rather characteristic of me, quite descriptive; 3= Very characteristic of me, extremely descriptive",q22
