"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"child_subjectkey","GUID","","Required","Original GUID","","",""
"ch_src_id","String","20","Required","Child' original ID","","",""
"bio_childage_1","Integer","","Required","Biological child 1 age","0::1200","In months",""
"babysex","Integer","","Required","Child's biological sex","1;2","1=Male; 2=Female",""
"phenotype","String","200","Recommended","Phenotype/diagnosis for the subject","","",""
"family_id","String","20","Required","Family User-Defined ID","","",""
"experiment_id","Integer","","Required","ID for the Experiment/settings/run","","",""
"data_file1","File","","Required","Data file 1","","",""
"data_file1_type","String","300","Recommended","type of data file 1","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"experiment_description","String","4000","Recommended","Description of experiment/sequence/event","","",""
"hardware_manufacturer","String","100","Recommended","Hardware Manufacturer","","",""
"hardware_model","String","100","Recommended","Hardware Model","","",""
"sampling_rate","Integer","","Recommended","Sampling rate of data collection in Hz","","",""
"collection_settings","String","4000","Recommended","Note any hardware or data filter settings used during collection","","",""
"connections_used","String","4000","Recommended","Description of how participants were connected to the data collection hardware","","",""
"scan_assess","Integer","","Recommended","When was this assessment administered?","1 :: 3","1= Pre Scan; 2= Post Scan; 3= During Scan",""
"site","String","101","Recommended","Site","","Study Site",""
"visit","String","60","Recommended","Visit name","","",""
"handedness","String","29","Recommended","handedness","R;L;B;999","R = Right; L = Left; B = Both",""
"imaging_present","Integer","","Recommended","Indicates presence or absense of simultaneous imaging with psychophysiological data collection","0;1","0 = no simultaneous imaging; 1 = imaging performed during psychophysiological data collection",""
"image_modality","String","20","Recommended","Image modality","MRI; PET; CT; SPECT; ultrasound; FA; X-Ray; spectroscopy; microscopy","Computed Radiography; Computed Tomography; External Camera Photography; FA; General Microscopy; MRI; Magnetic Resonance; Magnetic Resonance Spectroscopy; Nuclear Medicine; Single Photon Emission Computed Tomography; Ultrasound",""
"stimulus_present","Integer","","Recommended","Indicates presence or absense of task stimuli during collection of psychophysiological data collection.","0;1","0 = no stimulus presented during data collection; 1 = stimulus presented during data collection",""
